easynvest-RF;Easynvest Investimentos Online;22 de julho de 2019;10,0M;500.000+;4.0.1;3,9;12.476;"['aplicativo muito bom, porém ainda falta a opção de extrato de pelo menos 1 semana que é útil para quem tem ações, fundos imobiliários e títulos com juros semestrais. Essa funcionalidade só tem no site.', 'Excelente aplicativo, já uso a muito tempo, porém na última atualização foi retirado os filtros de pesquisa dificultando para quem quer investir, sem os filtros é péssimo... Uma dica para o aplicativo é mostrar em ""Conta Easynvest"" tanto valor positivo, quanto negativo para o cliente não ter surpres…\nResenha completa', 'Estou desde quinta-feira dia 11/07 tentando realizar uma retirada e o valor some do app, não entra na minha conta do Banco e depois volta pro App. ridículo isso!', 'Fiquei muito animado no começo.Hoje é domingo e esperava fazer meu depósito amanhã segunda feira.Mas aí me deparei com uma inconveniente e grotesca contradição: o app só aceita depósito vai ted. Até aí tudo bem mas quando fui olhar a taxa que meu banco cobra pra fazer o tal ted é quase 67% do que eu…\nResenha completa']"
easynvest-RV;Trade;15 de março de 2019;15M;100.000+;2.2.1;2,0;2.157;['Os desenvolvedores poderão aperfeiçoar algumas funcionalidades do app, poderiam exibir o saldo no momento da compra de um ativo, ou mesmo colocar o valor em R$ a ser comprado baseado na quantidade das cotas. Acho que poderiam exibir também no ato da venda a quantidade de cotas sob custódia, implemen…\nResenha completa', 'Vocês deveriam ou unificar esse aplicativo ao de renda fixa ou dar mais atenção para ele. Antes, as taxas cobradas pelos investimentos nao eram atrativos, ainda não eram tão atrativas, mas ainda assim, algumas mudanças já são notáveis. Temos como exemplos: fundos imobiliários, fundos de indices que …\nResenha completa', 'O app serve apenas para comprar ou vender ações. Qualquer outro tipo de informação vc precisa de uma planilha ou outro aplicativo. Perde feio para qualquer app de outra corretora. Precisa colocar mto mais funções no app pra ficar bom.', 'O app é bem prático, mas, poderia ser melhor. Por exemplo, sinto falta da opção de consulta ao extrato, além de ser impossível visualizar o preço pelo qual o ativo foi comprado, ficando difícil, dessa forma, saber quanto à valorização do mesmo (nem no site temos essa informação - outras corretoras d…\nResenha completa']
terra;Terra Investimentos;16 de junho de 2019;18M;1.000+;2.0.4;3,5;11;"['Deveria pelo menos ter opção de extrato. Seria bom se separar FIIs da carteira de ações, ficaria bem melhor a visualização.', 'O aplicativo não tem funcionalidade alguma. Não apresenta detalhamento de nada. Não vale a pena perder tempo instalando', 'Quase não atualiza os valores ao longo do dia (lançamento futuro, etc.); não dá pra gerenciar alocação de margem, ver extrato nem fazer resgate; não serve para zerar posição em uma emergência.', 'Dá crash a todo momento quando aperto em entrar para fazer o login. Não tem como usar']"
rico;Rico - Investimentos;15 de julho de 2019;9,6M;500.000+;2.7.0.1581;4,5;49.983;['A Rico está evoluindo cada vez mais o seu app. Gostei muito da opção de evolução da carteira que a XP disponibilizou recentemente no app XP Investimentos. Vocês poderiam fazer algo similar também. Mostra a evolução da nossa carteira por gráficos em vários tempos confrontando com a evolução do CDI co…\nResenha completa', 'A corretora pode até ser boa. Mas a uns meses atrás fiz meu cadastro e até hoje nunca recebi um e-mail de confirmação da conta. Eles ficaram com meus dados mas minha conta nunca foi aprovada porque o e-mail de confirmação nunca chegou. Eu não sei vocês mas eu to entrando com um processo contra esta …\nResenha completa', 'O melhor app para se investir! Simplesmente simples, mas não simplório. Parabéns pelo desenvolvimento do app, que projeto ótimo! Depois de tanta luta para eu mudar minha vida financeira e pensamento, a Rico veio para somar nesta nova qualidade de vida financeira. Apenas gostaria de deixar registrado…\nResenha completa', 'Segui todos os procedimentos conforme email recebido. Anexei os documentos e depois pede para acessar a conta. Tentei acessar com o usuário, mas diz que não é válido. Obter por resgatar o usuário e cliquei em Esqueci meu usuário. Foi solicitado CPF e diz que o usuário está bloqueado e deve ligar par…\nResenha completa']
XP;XP Investimentos;;;;;4,6;35.010;"['Excelente aplicativo. Inclusive, com a recente atualização, é possível acompanhar a performance da carteira. Acredito, contudo, que deveria haver também a possibilidade de acompanhar a evolução dos proventos e dividendos. Isso porque, para o investidor de longo prazo, converge com os objetivos de ca…\nResenha completa', 'Muito bom! Obrigado XP! Vocês são 10! Para ser onze, só falra dar aquela reduzida na corretagem, finalmente agora podemos investir no tesouro direto! Para ficar melhor ainda, o legal seria se nos títulos que já temos em nossa carteira (no caso do tesouro direto), tivesse a opção "" Investir "" dentro …\nResenha completa', 'Quero dar meus sinceros parabéns à equipe responsável por esse App. É impressionante a evolução da experiência de uso se comparado aos antigos apps que a XP costumava publicar. Desde a nova versão lançada há alguns meses atrás, minha experiência gerindo meus investimentos na corretora melhorou muito…\nResenha completa', 'Para um iniciante é muito complicado de se mexer, pouco explicativo, apenas jogam algumas informações e o usuário que se vire para saber o que é cada coisa, um aplicativo só para renda variável é desnecessário poderiam unificar, o sistema é inconstante, toda hora cai. Em alguns pontos são extremamen…\nResenha completa']"
clear;Clear Mobile;25 de outubro de 2018;24M;100.000+;3.3.7;2,4;4.671;"['Nunca consegui enviar uma ordem de compra ou venda pelo aplicativo, surge sempre a mesma mensagem de erro: ""dizendo que estou logado em outro aplicativo"". Como não existe um atendimento de suporte ao cliente, não consigo informar meu problema a ninguém. obrigado pela incompetência do sistema e pelo …\nResenha completa', 'Fiz um investimento no tesouro direto que não foi liquidado devido a falta de pagamento por parte da corretora. O pior é que o investimento ficou aparecendo normalmente para mim, mas agora recebi um email do tesouro direto informando que em caso de reincidência estarei sujeita a aplicação das penali…\nResenha completa', 'Deixando a desejar, travamentos inúmeros, desligamento aleatório do aplicativo; falha nos botões de renda fixa e variável; não conexão real com dados da bolsa; quando em contato com atendente, no final de todas as diversas conversas acabei sendo encaminhado para um e-mail. Em resumo... todos os prob…\nResenha completa', 'Dá muito erro. Já perdi oportunidades de comprar e de acompanhar as cotações devido a erros. Não carrega as informações ou então diz que não há conexão com a Internet. Não há um canal de solicitação/comunicação. Queria converter preferenciais em units e não consegui solicitar a conversão pelo app.']"
easynvest-RF;Easynvest Investimentos Online;22 de julho de 2019;10,0M;500.000+;4.0.1;3,9;12.475;"['aplicativo muito bom, porém ainda falta a opção de extrato de pelo menos 1 semana que é útil para quem tem ações, fundos imobiliários e títulos com juros semestrais. Essa funcionalidade só tem no site.', 'Excelente aplicativo, já uso a muito tempo, porém na última atualização foi retirado os filtros de pesquisa dificultando para quem quer investir, sem os filtros é péssimo... Uma dica para o aplicativo é mostrar em ""Conta Easynvest"" tanto valor positivo, quanto negativo para o cliente não ter surpres…\nResenha completa', 'Estou desde quinta-feira dia 11/07 tentando realizar uma retirada e o valor some do app, não entra na minha conta do Banco e depois volta pro App. ridículo isso!', 'Fiquei muito animado no começo.Hoje é domingo e esperava fazer meu depósito amanhã segunda feira.Mas aí me deparei com uma inconveniente e grotesca contradição: o app só aceita depósito vai ted. Até aí tudo bem mas quando fui olhar a taxa que meu banco cobra pra fazer o tal ted é quase 67% do que eu…\nResenha completa']"
easynvest-RV;Trade;15 de março de 2019;15M;100.000+;2.2.1;2,0;2.157;['Os desenvolvedores poderão aperfeiçoar algumas funcionalidades do app, poderiam exibir o saldo no momento da compra de um ativo, ou mesmo colocar o valor em R$ a ser comprado baseado na quantidade das cotas. Acho que poderiam exibir também no ato da venda a quantidade de cotas sob custódia, implemen…\nResenha completa', 'Vocês deveriam ou unificar esse aplicativo ao de renda fixa ou dar mais atenção para ele. Antes, as taxas cobradas pelos investimentos nao eram atrativos, ainda não eram tão atrativas, mas ainda assim, algumas mudanças já são notáveis. Temos como exemplos: fundos imobiliários, fundos de indices que …\nResenha completa', 'O app serve apenas para comprar ou vender ações. Qualquer outro tipo de informação vc precisa de uma planilha ou outro aplicativo. Perde feio para qualquer app de outra corretora. Precisa colocar mto mais funções no app pra ficar bom.', 'O app é bem prático, mas, poderia ser melhor. Por exemplo, sinto falta da opção de consulta ao extrato, além de ser impossível visualizar o preço pelo qual o ativo foi comprado, ficando difícil, dessa forma, saber quanto à valorização do mesmo (nem no site temos essa informação - outras corretoras d…\nResenha completa']
terra;Terra Investimentos;16 de junho de 2019;18M;1.000+;2.0.4;3,5;11;"['Deveria pelo menos ter opção de extrato. Seria bom se separar FIIs da carteira de ações, ficaria bem melhor a visualização.', 'O aplicativo não tem funcionalidade alguma. Não apresenta detalhamento de nada. Não vale a pena perder tempo instalando', 'Quase não atualiza os valores ao longo do dia (lançamento futuro, etc.); não dá pra gerenciar alocação de margem, ver extrato nem fazer resgate; não serve para zerar posição em uma emergência.', 'Dá crash a todo momento quando aperto em entrar para fazer o login. Não tem como usar']"
rico;Rico - Investimentos;15 de julho de 2019;9,6M;500.000+;2.7.0.1581;4,5;50.126;['A Rico está evoluindo cada vez mais o seu app. Gostei muito da opção de evolução da carteira que a XP disponibilizou recentemente no app XP Investimentos. Vocês poderiam fazer algo similar também. Mostra a evolução da nossa carteira por gráficos em vários tempos confrontando com a evolução do CDI co…\nResenha completa', 'A corretora pode até ser boa. Mas a uns meses atrás fiz meu cadastro e até hoje nunca recebi um e-mail de confirmação da conta. Eles ficaram com meus dados mas minha conta nunca foi aprovada porque o e-mail de confirmação nunca chegou. Eu não sei vocês mas eu to entrando com um processo contra esta …\nResenha completa', 'O melhor app para se investir! Simplesmente simples, mas não simplório. Parabéns pelo desenvolvimento do app, que projeto ótimo! Depois de tanta luta para eu mudar minha vida financeira e pensamento, a Rico veio para somar nesta nova qualidade de vida financeira. Apenas gostaria de deixar registrado…\nResenha completa', 'Segui todos os procedimentos conforme email recebido. Anexei os documentos e depois pede para acessar a conta. Tentei acessar com o usuário, mas diz que não é válido. Obter por resgatar o usuário e cliquei em Esqueci meu usuário. Foi solicitado CPF e diz que o usuário está bloqueado e deve ligar par…\nResenha completa']
XP;XP Investimentos;;;;;4,6;35.069;"['Excelente aplicativo. Inclusive, com a recente atualização, é possível acompanhar a performance da carteira. Acredito, contudo, que deveria haver também a possibilidade de acompanhar a evolução dos proventos e dividendos. Isso porque, para o investidor de longo prazo, converge com os objetivos de ca…\nResenha completa', 'Muito bom! Obrigado XP! Vocês são 10! Para ser onze, só falra dar aquela reduzida na corretagem, finalmente agora podemos investir no tesouro direto! Para ficar melhor ainda, o legal seria se nos títulos que já temos em nossa carteira (no caso do tesouro direto), tivesse a opção "" Investir "" dentro …\nResenha completa', 'Quero dar meus sinceros parabéns à equipe responsável por esse App. É impressionante a evolução da experiência de uso se comparado aos antigos apps que a XP costumava publicar. Desde a nova versão lançada há alguns meses atrás, minha experiência gerindo meus investimentos na corretora melhorou muito…\nResenha completa', 'Para um iniciante é muito complicado de se mexer, pouco explicativo, apenas jogam algumas informações e o usuário que se vire para saber o que é cada coisa, um aplicativo só para renda variável é desnecessário poderiam unificar, o sistema é inconstante, toda hora cai. Em alguns pontos são extremamen…\nResenha completa']"
clear;Clear Mobile;25 de outubro de 2018;24M;100.000+;3.3.7;2,4;4.673;"['Nunca consegui enviar uma ordem de compra ou venda pelo aplicativo, surge sempre a mesma mensagem de erro: ""dizendo que estou logado em outro aplicativo"". Como não existe um atendimento de suporte ao cliente, não consigo informar meu problema a ninguém. obrigado pela incompetência do sistema e pelo …\nResenha completa', 'Fiz um investimento no tesouro direto que não foi liquidado devido a falta de pagamento por parte da corretora. O pior é que o investimento ficou aparecendo normalmente para mim, mas agora recebi um email do tesouro direto informando que em caso de reincidência estarei sujeita a aplicação das penali…\nResenha completa', 'Deixando a desejar, travamentos inúmeros, desligamento aleatório do aplicativo; falha nos botões de renda fixa e variável; não conexão real com dados da bolsa; quando em contato com atendente, no final de todas as diversas conversas acabei sendo encaminhado para um e-mail. Em resumo... todos os prob…\nResenha completa', 'Dá muito erro. Já perdi oportunidades de comprar e de acompanhar as cotações devido a erros. Não carrega as informações ou então diz que não há conexão com a Internet. Não há um canal de solicitação/comunicação. Queria converter preferenciais em units e não consegui solicitar a conversão pelo app.']"
